,y1,y2,p1,p2
0,0,1,0.23965009410724686,0.7603499058927532
1,1,0,0.9901183312589761,0.009881668741023919
2,1,0,0.9183352012750662,0.08166479872493382
3,1,0,0.7477380797300868,0.25226192026991323
4,0,1,0.03423031942757863,0.9657696805724214
5,0,1,0.03422234655275977,0.9657776534472402
6,0,1,0.013136153068377779,0.9868638469316222
7,1,0,0.9772851917575854,0.022714808242414564
8,0,1,0.7523434666984244,0.24765653330157555
9,1,0,0.8985052775120282,0.10149472248797176
10,0,1,0.009065656134666712,0.9909343438653333
11,1,0,0.9918301272918569,0.008169872708143067
12,1,0,0.968459261057523,0.031540738942477
13,0,1,0.0586013537433224,0.9413986462566776
14,0,1,0.043866344348483056,0.956133655651517
15,0,1,0.04453363133072213,0.9554663686692779
16,0,1,0.13498565577899693,0.8650143442210031
17,1,0,0.5860268076256678,0.41397319237433217
18,0,1,0.3588060913827122,0.6411939086172878
19,0,1,0.12049949269994989,0.8795005073000501
20,1,0,0.771804567860011,0.22819543213998905
21,0,1,0.029168561377246476,0.9708314386227536
22,1,0,0.12147311854694368,0.8785268814530564
23,0,1,0.22506645431551384,0.7749335456844861
24,1,0,0.41597948710504545,0.5840205128949545
25,1,0,0.9503465868473534,0.0496534131526466
26,0,1,0.051992537350925794,0.9480074626490742
27,0,1,0.5602913047524694,0.43970869524753065
28,1,0,0.7357793423312612,0.2642206576687388
29,0,1,0.011710429668585156,0.9882895703314148
30,1,0,0.7641284487200053,0.2358715512799947
31,1,0,0.039363436906307316,0.9606365630936927
32,0,1,0.01407078263859128,0.9859292173614087
33,1,0,0.9899377909185656,0.010062209081434403
34,1,0,0.9914760955255217,0.008523904474478261
35,1,0,0.9602266966255256,0.03977330337447438
36,1,0,0.13542005521068995,0.8645799447893101
37,0,1,0.019392633576566128,0.9806073664234338
38,1,0,0.8746079242688654,0.12539207573113464
39,0,1,0.3778991016123765,0.6221008983876235
40,0,1,0.0246116053433381,0.9753883946566619
41,1,0,0.5129393855681904,0.4870606144318096
42,0,1,0.010393623321163345,0.9896063766788367
43,1,0,0.985126720771257,0.014873279228743042
44,0,1,0.09011757477297255,0.9098824252270274
45,1,0,0.8488003490786884,0.1511996509213116
46,0,1,0.14394673811181435,0.8560532618881856
47,1,0,0.5746087918085031,0.4253912081914969
48,0,1,0.6380943914529843,0.3619056085470157
49,1,0,0.045154679355635184,0.9548453206443648
50,1,0,0.9918037317517521,0.008196268248247929
51,1,0,0.9453873002708342,0.054612699729165826
52,1,0,0.9889584775892941,0.011041522410705884
53,1,0,0.982846884140263,0.017153115859737
54,1,0,0.7463046558612413,0.2536953441387587
55,1,0,0.9868583812907976,0.013141618709202385
56,0,1,0.017721870814598827,0.9822781291854011
57,0,1,0.0502031008905723,0.9497968991094277
58,0,1,0.011569716085810705,0.9884302839141893
59,0,1,0.16155590097560923,0.8384440990243908
60,0,1,0.2663487765905275,0.7336512234094725
61,0,1,0.10096848216482458,0.8990315178351754
62,1,0,0.9673076374558849,0.03269236254411512
63,0,1,0.20875163136712338,0.7912483686328766
64,0,1,0.11000843865742697,0.8899915613425731
65,0,1,0.6287739956783879,0.3712260043216121
66,0,1,0.029576347789691378,0.9704236522103086
67,1,0,0.9577899361261993,0.04221006387380066
68,0,1,0.015451249162591333,0.9845487508374087
69,1,0,0.9930969802748416,0.006903019725158388
70,1,0,0.9438768698237168,0.05612313017628323
71,0,1,0.05152231807995213,0.9484776819200479
72,0,1,0.007807914465985424,0.9921920855340146
73,1,0,0.96283856694596,0.03716143305403996
74,0,1,0.8973916834320107,0.1026083165679893
75,1,0,0.9160670796434472,0.08393292035655275
76,1,0,0.9433584475759069,0.05664155242409308
77,0,1,0.01537446352220632,0.9846255364777937
78,0,1,0.211594187983043,0.788405812016957
79,1,0,0.023173279581469006,0.976826720418531
80,1,0,0.9765929862343893,0.023407013765610718
81,1,0,0.7913333439353525,0.20866665606464752
82,0,1,0.16924047341484483,0.8307595265851552
83,0,1,0.01386512422932854,0.9861348757706715
84,0,1,0.14305105075498023,0.8569489492450197
85,0,1,0.16135686848445682,0.8386431315155431
86,1,0,0.9165265014067223,0.08347349859327768
87,1,0,0.8139032366520316,0.18609676334796843
88,1,0,0.981514813518954,0.018485186481046023
89,0,1,0.45565414290069006,0.5443458570993099
90,0,1,0.024031671236098874,0.9759683287639012
91,1,0,0.9031257339183313,0.09687426608166871
92,1,0,0.9374882969306106,0.06251170306938936
93,0,1,0.67101337553634,0.32898662446366
94,1,0,0.9431962377218398,0.0568037622781602
95,1,0,0.5094878518780825,0.49051214812191746
96,0,1,0.5811091679295299,0.41889083207047006
97,1,0,0.3487382904057817,0.6512617095942184
98,0,1,0.009510444246707163,0.9904895557532928
99,0,1,0.02143450462036716,0.9785654953796329
100,0,1,0.010093606898688308,0.9899063931013117
101,1,0,0.8121595856864127,0.18784041431358733
102,1,0,0.14723674176914078,0.8527632582308592
103,1,0,0.5462937596934093,0.4537062403065907
104,1,0,0.9848675353762266,0.015132464623773378
105,0,1,0.08263457563903209,0.9173654243609679
106,0,1,0.310845223673415,0.6891547763265851
107,1,0,0.9343498703153655,0.06565012968463446
108,0,1,0.06836893394458776,0.9316310660554122
109,0,1,0.015825184669130393,0.9841748153308696
110,0,1,0.11894221041220147,0.8810577895877986
111,0,1,0.035992547319330465,0.9640074526806696
112,1,0,0.9878352862408206,0.01216471375917938
113,1,0,0.9601207835540626,0.03987921644593739
114,1,0,0.8075296357483911,0.1924703642516089
115,1,0,0.9784291582441512,0.02157084175584878
116,1,0,0.9583822827544769,0.0416177172455231
117,0,1,0.045900173401709904,0.9540998265982901
118,1,0,0.9824602471342461,0.017539752865753933
119,0,1,0.6209123347796411,0.37908766522035886
120,1,0,0.9598595166349742,0.04014048336502585
121,1,0,0.9830586765746024,0.01694132342539756
122,1,0,0.15187563969395346,0.8481243603060465
123,0,1,0.02189238683265107,0.978107613167349
124,0,1,0.06782129083428425,0.9321787091657158
125,1,0,0.34775498540002103,0.652245014599979
126,1,0,0.9637414437639393,0.03625855623606067
127,1,0,0.976044397015702,0.023955602984297997
128,0,1,0.007919480247899487,0.9920805197521005
129,0,1,0.5516829978476367,0.44831700215236325
130,1,0,0.3260972927191829,0.673902707280817
131,0,1,0.06422864364837588,0.9357713563516241
132,0,1,0.02409534258070085,0.9759046574192991
133,0,1,0.17889553858966628,0.8211044614103338
134,1,0,0.989324775109054,0.010675224890945967
135,0,1,0.15869492748756525,0.8413050725124347
136,1,0,0.5714834631981286,0.4285165368018714
137,1,0,0.893803005298745,0.10619699470125499
138,0,1,0.22033693237302174,0.7796630676269782
139,1,0,0.9919804479185816,0.008019552081418357
140,1,0,0.9912026891119937,0.008797310888006282
141,0,1,0.08454192202078879,0.9154580779792112
142,0,1,0.5181133346772158,0.48188666532278424
143,0,1,0.13110578132394665,0.8688942186760533
144,0,1,0.1138913089153567,0.8861086910846433
145,0,1,0.010653770049201348,0.9893462299507987
146,0,1,0.767748851356068,0.23225114864393204
147,1,0,0.531655162688716,0.46834483731128396
148,0,1,0.012306893360244995,0.987693106639755
149,0,1,0.10778820001827868,0.8922117999817213
150,1,0,0.9849714193447451,0.01502858065525492
151,0,1,0.07555161923935012,0.9244483807606498
152,0,1,0.030737523429210538,0.9692624765707895
153,0,1,0.4986319041081182,0.5013680958918818
154,1,0,0.9930116959524986,0.0069883040475013924
155,0,1,0.07731162060158822,0.9226883793984118
156,1,0,0.8607286936964292,0.13927130630357076
157,1,0,0.9379756042716618,0.06202439572833818
158,0,1,0.07421851651527268,0.9257814834847273
159,1,0,0.9154570288411116,0.08454297115888842
160,0,1,0.22755502963629892,0.7724449703637011
161,1,0,0.8058174146234403,0.19418258537655975
162,1,0,0.8077253249756617,0.19227467502433826
